,rating,likes,genre,top cast,language,director
Taste of Cherry,4.31,56004,['Drama'],"['Homayoun Ershadi', 'Abdolrahman Bagheri', 'Safar Ali Moradi']",Persian (Farsi),Abbas Kiarostami
The Royal Tenenbaums,4.1,305003,"['Drama', 'Comedy']","['Gene Hackman', 'Anjelica Huston', 'Ben Stiller']",English,Wes Anderson
A Christmas Story,3.56,58230,"['Family', 'Comedy']","['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin']",English,Bob Clark
Leaving Las Vegas,3.75,19572,"['Drama', 'Romance']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",English,Mike Figgis
Le Samouraï,4.25,52091,"['Crime', 'Drama', 'Thriller']","['Alain Delon', 'François Périer', 'Nathalie Delon']",French,Jean-Pierre Melville
Mary Poppins,3.88,99492,"['Family', 'Comedy', 'Fantasy']","['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson']",English,Robert Stevenson
Clueless,3.72,434032,"['Drama', 'Comedy', 'Romance']","['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",English,Amy Heckerling
Pan's Labyrinth,4.17,326532,"['War', 'Fantasy', 'Drama']","['Ivana Baquero', 'Sergi López', 'Maribel Verdú']",Spanish,Guillermo del Toro
To Have and Have Not,3.89,11387,"['Adventure', 'Romance', 'War']","['Humphrey Bogart', 'Walter Brennan', 'Lauren Bacall']",English,Howard Hawks
Giant,3.85,9555,"['Drama', 'Western']","['Elizabeth Taylor', 'Rock Hudson', 'James Dean']",English,George Stevens
Midnight Run,3.81,27302,"['Crime', 'Comedy', 'Action']","['Robert De Niro', 'Charles Grodin', 'Yaphet Kotto']",English,Martin Brest
Only Yesterday,3.93,44373,"['Drama', 'Romance', 'Animation']","['Miki Imai', 'Toshiro Yanagiba', 'Yoko Honna']",Japanese,Isao Takahata
The Count of Monte Cristo,3.7,17483,"['Adventure', 'Drama', 'History']","['Jim Caviezel', 'Guy Pearce', 'Richard Harris']",English,Kevin Reynolds
